epoch,train_loss,train_acc,val_acc,noiseless_val_acc,final_train_acc,final_val_acc,final_noiseless_val_acc,sensitivity,sens_f,sens_g,err_f,err_g,entropy,lr,depth,d_model,dropout,heads,d_ffn,n_bool,n_bits,bf_bool
469,0.6380797406290747,0.6598328025477707,0.6529552715654952,0.7748602236421726,0.6389331210191083,0.6282947284345048,0.7265375399361023,2.7976,3.71875,3.71875,0.27317302499999996,0.27317302499999996,0.8310690515849384,0.001585,3,128,0.05,4,64,7,10,0.1
372,0.6426465966898924,0.6429140127388535,0.6354832268370607,0.8832867412140575,0.6275875796178344,0.6146166134185304,0.7788538338658147,1.9237,2.375,2.0,0.3705344256,0.3659944,0.9316495810084318,0.001585,2,128,0.05,4,256,5,10,0.24
36,0.16516051001277318,1.0,1.0,1.0,1.0,1.0,1.0,2.9621,2.9375,2.9375,0.0,0.0,1.7763568394002505e-15,0.000251,4,32,0.05,8,32,5,10,0.0
325,0.6577045792227338,0.6168391719745223,0.6069289137380192,0.8286741214057508,0.6202229299363057,0.6026357827476039,0.8680111821086262,1.8564,2.625,1.875,0.3885555456,0.38345312,0.9371879817603279,0.000631,1,64,0.05,4,256,5,10,0.24
133,0.5839479335933734,0.7135748407643312,0.6949880191693291,0.8889776357827476,0.7253184713375797,0.6828075079872205,0.8635183706070287,1.9293,2.875,2.125,0.31008123084800004,0.305425442624,0.8500859753263192,0.000398,2,64,0.05,4,256,6,10,0.16
487,0.5831708630938439,0.7273089171974523,0.7223442492012779,0.8559305111821086,0.7289012738853503,0.7213458466453674,0.8560303514376997,2.6029,3.609375,3.609375,0.22471847846400006,0.22471847846400006,0.7441968993278154,0.000398,1,16,0.05,2,128,7,10,0.08
52,0.16750111600538348,1.0,1.0,1.0,1.0,1.0,1.0,2.4027,2.375,2.375,0.0,0.0,-8.881784197001252e-16,0.000158,3,16,0.05,4,64,5,10,0.0
194,0.4122589973697237,0.8682324840764332,0.8686102236421726,1.0,0.8682324840764332,0.8686102236421726,1.0,2.9569,2.9375,2.9375,0.13068603515624994,0.13068603515624994,0.5463227326105162,0.000398,2,128,0.05,2,32,5,10,0.05
66,0.49873044422477675,0.7971735668789809,0.8090055910543131,1.0,0.8009554140127388,0.8019169329073482,0.9822284345047924,2.8777,2.875,2.875,0.19059791052800007,0.19059791052800007,0.6814069814108406,0.000631,3,128,0.05,4,128,6,10,0.08
34,0.16612059315725877,1.0,1.0,1.0,1.0,1.0,1.0,2.5572,2.5625,2.5625,0.0,0.0,8.881784197001252e-16,0.000251,2,64,0.05,2,64,6,10,0.0
112,0.6128275140075926,0.6847133757961783,0.6813099041533547,0.9622603833865815,0.7273089171974523,0.6345846645367412,0.8315694888178914,2.8231,2.875,2.5,0.31501249331200004,0.31269249651200004,0.8704081073153489,0.000158,2,128,0.05,8,32,6,10,0.16
77,0.5912855962279496,0.691281847133758,0.6847044728434505,0.9084464856230032,0.723328025477707,0.6589456869009584,0.8302715654952076,1.7501,2.25,1.5625,0.32746882079999995,0.31782491039999994,0.8608976018745977,0.001,2,32,0.05,4,128,5,10,0.22
125,0.06931700287472048,1.0,1.0,1.0,0.9747213375796179,0.9684504792332268,0.9684504792332268,2.4981,2.5,2.5,0.0,0.0,0.0,0.003,1,128,0.05,4,128,5,10,0.0
155,0.6752707179944226,0.5905652866242038,0.5914536741214057,0.6831070287539937,0.584593949044586,0.5779752396166135,0.6484624600638977,1.6779,3.546875,2.921875,0.37958753650877997,0.3757730032921,0.942309897492791,0.001585,3,128,0.05,8,256,7,10,0.18
35,0.60646538445904,0.6781449044585988,0.6780151757188498,0.8247803514376997,0.7165605095541401,0.6509584664536742,0.7883386581469649,1.3613,2.9375,1.0625,0.33100423019999997,0.3237210786,0.863489200021502,0.001585,4,16,0.05,8,32,5,10,0.18
245,0.6543460438965233,0.6325636942675159,0.6367811501597445,0.8122004792332268,0.6184315286624203,0.6188099041533547,0.7173522364217252,1.8008,2.5625,2.0625,0.3600181618,0.3575160818,0.9180216942662733,0.001585,2,128,0.05,2,256,5,10,0.22
464,0.6266407550899846,0.6685907643312102,0.6616413738019169,0.8544329073482428,0.6677945859872612,0.6547523961661342,0.8439496805111821,2.2199,3.0625,2.5625,0.32772345139200004,0.32546865734400005,0.8879338099613818,0.000158,1,32,0.05,4,128,6,10,0.16
114,0.6797328447080722,0.5784235668789809,0.5783746006389776,0.6479632587859425,0.5810111464968153,0.5741813099041534,0.6471645367412141,1.201,3.359375,1.921875,0.441628123328,0.4262789886208,0.9734626072985852,0.000631,1,64,0.05,2,32,7,10,0.28
328,0.6844519608339686,0.5447850318471338,0.5463258785942492,0.6560503194888179,0.5419984076433121,0.5262579872204473,0.5906549520766773,1.99,3.1875,2.1875,0.453213,0.44636575,0.9854111025515317,0.003,4,32,0.05,8,256,6,10,0.3
16,0.10432686934627261,1.0,1.0,1.0,1.0,1.0,1.0,3.2845,3.265625,3.265625,0.0,0.0,0.0,0.003,4,16,0.05,8,128,7,10,0.0
452,0.586266215249991,0.7085987261146497,0.7017771565495208,0.9413937699680511,0.7135748407643312,0.6982827476038339,0.9268170926517572,2.9729,3.3125,3.3125,0.29325276853437504,0.29325276853437504,0.8335332742264638,0.000158,2,16,0.05,8,64,6,10,0.13
86,0.4639604571898272,0.8212579617834395,0.8209864217252396,1.0,0.8244426751592356,0.8096046325878594,0.9762380191693291,2.0569,2.0625,2.0625,0.17706937499999997,0.17706937499999997,0.6398815253374979,0.000398,3,16,0.05,8,64,5,10,0.1
